month,avg_temp,year,month_num
2024 Dec,-0.9709677419354839,2024,12
2025 Jan,-3.770967741935484,2025,1
2025 Feb,-1.9892857142857143,2025,2
2025 Mar,5.319354838709677,2025,3
2025 Apr,10.13,2025,4
2025 May,14.654838709677419,2025,5
2025 Jun,20.43,2025,6
2025 Jul,23.460714285714285,2025,7
2025 Aug,19.183870967741935,2025,8
2025 Sep,17.05,2025,9
2025 Oct,10.967741935483872,2025,10
2025 Nov,4.36,2025,11
2025 Dec,-2.996774193548387,2025,12
